Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,13043430400,NYQ
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,62846001152,NYQ
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,45368434688,NYQ
IT,"Gartner, Inc.",Technology,Information Technology Services,27449475072,NYQ
GE,GE Aerospace,Industrials,Aerospace & Defense,288004898816,NYQ
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,35536453632,NMS
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,175472869376,NYQ
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,18985240576,NMS
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,9273448448,NYQ
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,84469178368,NYQ
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,27701798912,NYQ
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,50840969216,NYQ
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,18596599808,NYQ
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,144544661504,NMS
GPN,Global Payments Inc.,Industrials,Specialty Business Services,20915148800,NYQ
GL,Globe Life Inc.,Financial Services,Insurance - Life,11154022400,NYQ
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,23648733184,NYQ
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,223680937984,NYQ
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,19140915200,NYQ
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,35044106240,NYQ
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,10506871808,NMS
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,80428703744,NYQ
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,12230520832,NYQ
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8932856832,NMS
HSY,The Hershey Company,Consumer Defensive,Confectioners,37911261184,NYQ
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,27202320384,NYQ
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,64360837120,NYQ
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,14819191808,NMS
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,373436284928,NYQ
HON,Honeywell International Inc.,Industrials,Conglomerates,142369308672,NMS
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,16078928896,NYQ
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,11636503552,NMS
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,76504293376,NYQ
HPQ,HP Inc.,Technology,Computer Hardware,24120530944,NYQ
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,23619510272,NYQ
HUM,Humana Inc.,Healthcare,Healthcare Plans,28722520064,NYQ
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,24685588480,NMS
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,10391299072,NYQ
IBM,International Business Machines Corporation,Technology,Information Technology Services,241934106624,NYQ
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,14027877376,NYQ
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,45453656064,NMS
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,76773892096,NYQ
INCY,Incyte Corporation,Healthcare,Biotechnology,13588613120,NMS
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,35613679616,NYQ
PODD,Insulet Corporation,Healthcare,Medical Devices,20424202240,NMS
INTC,Intel Corporation,Technology,Semiconductors,90603905024,NMS
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,105799581696,NYQ
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,19601186816,NYQ
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,29393584128,NYQ
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,9541228544,NYQ
INTU,Intuit Inc.,Technology,Software - Application,219238400000,NMS
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,177754390528,NMS
IVZ,Invesco Ltd.,Financial Services,Asset Management,9727259648,NYQ
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,19559202816,NYQ
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,33858899968,NYQ
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,29309669376,NYQ
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,14453102592,NMS
JBL,Jabil Inc.,Technology,Electronic Components,23883843584,NYQ
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,12841102336,NMS
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,17236377600,NYQ
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,405323612160,NYQ
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,73523593216,NYQ
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,829891805184,NYQ
K,Kellanova,Consumer Defensive,Packaged Foods,27696142336,NYQ
